>> disp('tbl_acc0'); disp(tbl_acc0); 
disp('tbl_prc0'); disp(tbl_prc0); 
disp('tbl_rcl0'); disp(tbl_rcl0);
tbl_acc0
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus    nUnits
      6     'paired_monotrode_crcns'                           NaN           0.148         NaN        NaN          NaN      0.283         0.436            0.747            0.18        0.542          2 
      7     'paired_monotrode_mea64c'                          NaN           0.401         NaN        NaN          NaN      0.849         0.951            0.724           0.709        0.954         10 
      8     'neurocube_sim2_2K10'                              NaN           0.098         NaN        NaN          NaN          0          0.77            0.259           0.248        0.664          9 
      9     'neurocube_sim2_11K20'                             NaN            0.17         NaN        NaN          NaN      0.018          0.86            0.136           0.111        0.765         68 
     10     'neurocube_quiroga_easy1'                          NaN           0.994         NaN        NaN          NaN          0         0.999                1           0.997            1          7 
     11     'neurocube_quiroga_easy2'                          NaN             0.8         NaN        NaN          NaN      0.321         0.994            0.989           0.492        0.995          6 
     12     'neurocube_quiroga_difficult1'                     NaN           0.712         NaN        NaN          NaN      0.209         0.822            0.929           0.457         0.99          8 
     13     'neurocube_quiroga_difficult2'                     NaN           0.664         NaN        NaN          NaN      0.126         0.983            0.665           0.496        0.993          6 
     14     'synth_bionet_static'                              NaN           0.928       0.935      0.909        0.905          0         0.979            0.863           0.436          NaN       1288 
     15     'synth_bionet_drift'                               NaN           0.867       0.927      0.882        0.907          0         0.964             0.67           0.418          NaN       1281 
     16     'synth_bionet_shuffle'                             NaN           0.866       0.902      0.874        0.909          0         0.962            0.762           0.362          NaN       1285 
     17     'synth_magland_noise10_K10_C4'                     NaN           0.992       0.965      0.901        0.933       0.96         0.997            0.827           0.887          NaN         87 
     18     'synth_magland_noise10_K10_C8'                     NaN           0.997       0.996      0.968            1      0.999         0.954            0.908           0.934          NaN         89 
     19     'synth_magland_noise10_K20_C4'                     NaN           0.957       0.792      0.782        0.858      0.864          0.99            0.643           0.541          NaN        163 
     20     'synth_magland_noise10_K20_C8'                     NaN           0.987       0.977       0.91         0.94      0.986         0.963            0.815           0.964          NaN        174 
     21     'synth_magland_noise20_K10_C4'                     NaN           0.996       0.983      0.897        0.983      0.994         0.996            0.814            0.84          NaN         14 
     22     'synth_magland_noise20_K10_C8'                     NaN               1       0.999      0.865        0.997      0.998         0.951                1           0.833          NaN         12 
     23     'synth_magland_noise20_K20_C4'                     NaN            0.94       0.836      0.867        0.935      0.859         0.991            0.696           0.216          NaN         22 
     24     'synth_magland_noise20_K20_C8'                     NaN            0.97       0.904      0.822         0.91      0.829         0.975            0.828           0.933          NaN         27 
     25     'manual_tetrode_600s'                              NaN           0.405       0.368      0.348        0.531       0.64         0.705             0.51           0.031          NaN         89 
     26     'manual_tetrode_1200s'                             NaN           0.291       0.375      0.547        0.574       0.74         0.746            0.496           0.026          NaN         46 
     27     'manual_tetrode_2400s'                             NaN           0.303       0.259      0.542        0.591       0.77         0.794             0.37           0.015          NaN         23 
     28     'synth_mearec_neuronexus_noise10_K10_C32'          NaN           0.994        0.99      0.994        0.992      0.994         0.937            0.995           0.994          NaN         27 
     29     'synth_mearec_neuronexus_noise10_K20_C32'          NaN           0.999       0.957      0.887        0.999      0.975         0.951                1           0.834          NaN         40 
     30     'synth_mearec_neuronexus_noise10_K40_C32'          NaN            0.98       0.913      0.939         0.94      0.936         0.926            0.944           0.763          NaN         60 
     31     'synth_mearec_neuronexus_noise20_K10_C32'          NaN               1       0.998          1        0.999          1         0.958                1               1          NaN          4 
     32     'synth_mearec_neuronexus_noise20_K20_C32'          NaN               1       0.996        0.9            1       0.98         0.939                1               1          NaN         13 
     33     'synth_mearec_neuronexus_noise20_K40_C32'          NaN               1       0.992      0.959        0.972      0.977         0.936                1           0.893          NaN         28 
     34     'synth_mearec_tetrode_noise10_K10_C4'              NaN           0.972       0.614      0.937            0      0.986         0.991            0.911           0.985          NaN         15 
     35     'synth_mearec_tetrode_noise10_K20_C4'              NaN           0.948         0.6      0.919        0.768      0.933         0.987            0.861           0.802          NaN         25 
     36     'synth_mearec_tetrode_noise20_K10_C4'              NaN               1       0.909      0.908            0          1         0.999            0.957               1          NaN          4 
     37     'synth_mearec_tetrode_noise20_K20_C4'              NaN           0.999       0.971      0.998            0      0.996         0.992            0.968           0.997          NaN          7 
     38     'mea_c30'                                          0.9           0.989           0      0.902        0.998          0         0.953            0.995            0.69          NaN         56 
     39     'hybrid_drift_siprobe'                           0.864           0.945       0.948      0.936        0.943        NaN         0.968            0.897           0.492          NaN        532 
     40     'hybrid_static_siprobe'                          0.918           0.981       0.973      0.973        0.971        NaN         0.994            0.961           0.525          NaN        578 
     41     'hybrid_drift_tetrode'                           0.717           0.851       0.757      0.862        0.947        NaN         0.911            0.805           0.663          NaN         52 
     42     'hybrid_static_tetrode'                          0.827           0.951       0.878      0.955        0.914        NaN          0.98            0.837           0.572          NaN         54 

tbl_rcl0
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus    nUnits
    ____    _________________________________________    ______________    _________    _______    ________    _________    ______    _____________    _____________    ___________    ________    ______

      0     'paired_boyden32c'                                 NaN           0.817       0.742       0.81        0.897      0.698         0.501             0.69           0.383          NaN         10 
      1     'paired_crcns'                                     NaN           0.918       0.865      0.897        0.869      0.902         0.954             0.88           0.643          NaN         15 
      2     'paired_mea64c'                                  0.931           0.974       0.958      0.921        0.992      0.778         0.905             0.97           0.947          NaN         13 
      3     'paired_kampff'                                  0.875           0.818       0.947      0.963        0.983       0.45         0.827            0.802           0.723          NaN          6 
      4     'paired_monotrode_boyden32c'                       NaN           0.742         NaN        NaN          NaN        0.8         0.964            0.809           0.907        0.793         10 
      5     'paired_monotrode_kampff'                          NaN            0.69         NaN        NaN          NaN      0.785         0.865            0.878           0.994        0.607          9 
      6     'paired_monotrode_crcns'                           NaN           0.574         NaN        NaN          NaN      0.922         0.944            0.832           0.978        0.843          2 
      7     'paired_monotrode_mea64c'                          NaN           0.967         NaN        NaN          NaN       0.95         0.976            0.921            0.99        0.942         10 
      8     'neurocube_sim2_2K10'                              NaN           0.977         NaN        NaN          NaN          0         0.986            0.868           0.997        0.963          9 
      9     'neurocube_sim2_11K20'                             NaN           0.869         NaN        NaN          NaN      0.897         0.946            0.742           0.955        0.949         68 
     10     'neurocube_quiroga_easy1'                          NaN           0.904         NaN        NaN          NaN          0         0.976            0.974           0.994        0.758          7 
     11     'neurocube_quiroga_easy2'                          NaN           0.927         NaN        NaN          NaN      0.263         0.976            0.943           0.993        0.796          6 
     12     'neurocube_quiroga_difficult1'                     NaN           0.938         NaN        NaN          NaN       0.29         0.974            0.903           0.997        0.921          8 
     13     'neurocube_quiroga_difficult2'                     NaN           0.961         NaN        NaN          NaN      0.378         0.955            0.949           0.992        0.926          6 
     14     'synth_bionet_static'                              NaN           0.903         0.9      0.918        0.947          0         0.793            0.907           0.566          NaN       1288 
     15     'synth_bionet_drift'                               NaN           0.911       0.731        0.9        0.936          0         0.749             0.84           0.524          NaN       1281 
     16     'synth_bionet_shuffle'                             NaN           0.906       0.771      0.898        0.935          0         0.748            0.839           0.435          NaN       1285 
     17     'synth_magland_noise10_K10_C4'                     NaN            0.98       0.968      0.953        0.951      0.933         0.953            0.935           0.961          NaN         87 
     18     'synth_magland_noise10_K10_C8'                     NaN           0.988       0.986      0.933        0.998      0.939         0.953            0.946           0.908          NaN         89 
     19     'synth_magland_noise10_K20_C4'                     NaN           0.958       0.894      0.948        0.926      0.889         0.948            0.859           0.891          NaN        163 
